Ano,Mês,Ano Mês,Dias com Precipitação,Precipitação,Pressão,Temperatura,Vento Máx,Vento Méd,Residencial,Industrial,Comercial,Rural,Poder Público,Iluminação Pública,Serviço Público,Consumo Próprio,Consumo,Consumo Médio,Rlin
2013,01,2013-01,9.083333333333334,117.47777777777777,976.5427115833331,22.323022750000003,9.236111111111112,3.053842027777778,470456.0,49063.0,60929.0,730711.0,54805.0,702161.0,339480.0,56846.0,2464451.0,2482008.0472361105,2475324.9830745817
2013,02,2013-02,13.777777777777779,148.18888888888893,975.3600361944443,22.569606444444442,9.458333333333329,2.8354753888888884,458756.0,41079.0,57946.0,848900.0,54230.0,665088.0,414663.0,54553.0,2595215.0,2482008.0472361105,2475513.2384030754
2013,03,2013-03,13.527777777777779,146.8222222222222,977.6849656666665,19.726666361111114,9.613888888888887,2.849182888888889,443185.0,44410.0,59584.0,867536.0,54628.0,640371.0,323379.0,53366.0,2486459.0,2482008.0472361105,2475701.4937315695
2013,04,2013-04,11.055555555555555,119.8777777777778,978.8802300000001,18.70905863888889,8.63611111111111,2.4756053055555554,415763.0,38742.0,60252.0,889147.0,52302.0,586910.0,254855.0,53507.0,2351478.0,2482008.0472361105,2475889.749060063
2013,05,2013-05,15.527777777777779,110.61666666666666,979.065762638889,15.344357305555551,9.613888888888887,2.3759103333333336,416262.0,43299.0,61889.0,931849.0,54670.0,607578.0,212174.0,54464.0,2382185.0,2482008.0472361105,2476078.004388557
2013,06,2013-06,18.27777777777778,93.78888888888889,979.9846796944444,13.689317833333332,8.502777777777778,2.370894861111111,379382.0,27147.0,60080.0,908940.0,52007.0,618701.0,194551.0,52845.0,2293653.0,2482008.0472361105,2476266.2597170505
2013,07,2013-07,12.222222222222221,79.53888888888892,982.2058448333332,12.778903499999998,8.711111111111114,2.492740583333334,377239.0,34386.0,61359.0,906850.0,52960.0,643636.0,189999.0,50998.0,2317427.0,2482008.0472361105,2476454.5150455446
2013,08,2013-08,15.194444444444445,190.58333333333337,981.7532681666665,12.370022277777778,9.261111111111113,2.8862294166666667,404969.0,32776.0,63840.0,954097.0,57407.0,707102.0,194603.0,54649.0,2469443.0,2482008.0472361105,2476642.7703740383
2013,09,2013-09,13.027777777777779,130.5222222222222,979.4754619444445,15.782634055555555,9.322222222222221,2.917849222222222,389553.0,28581.0,60975.0,908477.0,56864.0,660445.0,189491.0,52182.0,2346568.0,2482008.0472361105,2476831.025702532
2013,10,2013-10,12.194444444444445,154.79444444444445,978.4726921388889,18.039489083333336,9.097222222222221,2.917059694444445,394109.0,32943.0,63684.0,893766.0,53138.0,639359.0,190822.0,52140.0,2319961.0,2482008.0472361105,2477019.281031026
